exercise_name,youtube_video_id
Barbell Bench Press,vcBig73ojpE
Dumbbell Bench Press,kgr3lCKx6_M
Barbell Incline Bench Press,5kyLUGVq_pk
Dumbbell Incline Bench Press,VDU5bzE2qOE
Push Up,IODxDxX7oi4
Barbell Overhead Press,_RlRDWO2jfg
Dumbbell Overhead Press,s_aK83TWYkA
Dumbbell Lateral Raise,IdNOahFD450
Machine Standing Lateral Raise,IropE3iOk2c
Pull Up,rmdn5X_KLkY
Chin Ups,e1YSApl-QcM
Barbell Bent Over Row,axoeDmW0oAY
Cable Seated Cable Row,A77hAjcpN1s
Barbell Heels Up Back Squat,bEv6CCg2BC8
Dumbbell Goblet Squat,CkFzgR55gho
Bulgarian Split Squat,hiLF_pF3EJM
Leg Press,K5n2vg3oZa4
Machine Leg Press,K5n2vg3oZa4
Barbell Deadlift,VL5Ab0T07e4
Barbell Romanian Deadlift,_oyxCn2iSjU
Romanian Deadlift,_oyxCn2iSjU
Barbell Hip Thrust,xDmFkJxPzeM
Machine Leg Extension,3zWKiW9BBpo
Machine Seated Leg Curl,_2Kd0d-JEUM
Seated Leg Curl,_2Kd0d-JEUM
Machine Standing Calf Raises,97NbelB5yvQ
Machine Seated Calf Raises,I1uQtobaNRQ
Chest Dip,bd-eYgKJUdc
Parallel Bar Dips,85u_8mz5lBA
Barbell Curl,i1YgFZB6alI
Dumbbell Curl,Jfp4b5Olc7A
Hammer Curl,8XLxfXROrTo
Dumbbell Preacher Curl,gSsEC9O6NYU
Tricep Pushdown,popGXI-qs98
Cable Triceps Extension,vPeQu_L-1n0
Dumbbell Overhead Tricep Extension,DZgpCf5alfI
